series,series_name,frequency,year,month,date,value
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,7,2005-07,35680.04
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,8,2005-08,32481.4
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,9,2005-09,33579.29
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,10,2005-10,33974.12
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,11,2005-11,32232.52
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,12,2005-12,33704.0
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,1,2006-01,33623.95
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,2,2006-02,34324.02
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,3,2006-03,37527.56
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,4,2006-04,35397.94
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,5,2006-05,36075.41
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,6,2006-06,36123.88
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,7,2006-07,35113.12
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,8,2006-08,34722.11
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,9,2006-09,35799.3
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,10,2006-10,35744.03
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,11,2006-11,36634.16
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2006,12,2006-12,37943.62
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,1,2007-01,39166.77
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,2,2007-02,40558.46
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,3,2007-03,42268.47
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,4,2007-04,43690.66
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,5,2007-05,46698.42
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,6,2007-06,46118.43
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,7,2007-07,46539.4
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,8,2007-08,45959.69
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,9,2007-09,48061.52
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,10,2007-10,50381.74
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,11,2007-11,53419.73
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2007,12,2007-12,54729.19
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,1,2008-01,57349.48
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,2,2008-02,61465.74
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,3,2008-03,65673.51
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,4,2008-04,69207.07
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,5,2008-05,71391.95
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,6,2008-06,71724.97
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,7,2008-07,73604.89
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,8,2008-08,70056.35
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,9,2008-09,69332.32
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,10,2008-10,65944.98
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,11,2008-11,64939.13
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2008,12,2008-12,61937.9
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,1,2009-01,62840.29
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,2,2009-02,64104.55
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,3,2009-03,62802.71
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,4,2009-04,63128.37
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,5,2009-05,65233.21
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,6,2009-06,64627.62
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,7,2009-07,64362.68
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,8,2009-08,64695.42
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,9,2009-09,65461.39
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,10,2009-10,65843.14
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,11,2009-11,66043.83
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2009,12,2009-12,66115.98
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,1,2010-01,67675.96
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,2,2010-02,68045.19
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,3,2010-03,67806.38
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,4,2010-04,68699.51
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,5,2010-05,67411.83
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,6,2010-06,68373.03
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,7,2010-07,67485.62
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,8,2010-08,66374.66
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,9,2010-09,66652.13
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,10,2010-10,68282.08
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,11,2010-11,68304.14
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2010,12,2010-12,68697.06
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,1,2011-01,69770.17
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,2,2011-02,71333.95
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,3,2011-03,73765.0
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,4,2011-04,76392.91
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,5,2011-05,76222.72
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,6,2011-06,76653.76
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,7,2011-07,76840.56
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,8,2011-08,75492.7
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,9,2011-09,74438.92
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,10,2011-10,75732.87
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,11,2011-11,77312.17
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2011,12,2011-12,77174.93
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,1,2012-01,79327.15
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,2,2012-02,80489.3
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,3,2012-03,81575.48
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,4,2012-04,83176.84
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,5,2012-05,81981.47
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,6,2012-06,82678.0
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,7,2012-07,83241.1
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,8,2012-08,82890.39
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,9,2012-09,84161.46
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,10,2012-10,85252.81
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,11,2012-11,85219.32
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2012,12,2012-12,90036.75
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,1,2013-01,88594.4
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,2,2013-02,91675.96
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2013,3,2013-03,94408.7
